case_name,reward_map,requested_detour_budget,trials,waypoint_count,successful_trials,failure_trials,success_rate,reward_per_distance_mean_successful,reward_per_distance_std_successful,total_reward_mean_successful,total_reward_std_successful,total_distance_mean_all,total_distance_std_all,total_distance_mean_successful,total_distance_std_successful,visited_waypoints_mean_all,visited_waypoints_std_all,completion_rate_mean_all,completion_rate_std_all,runtime_seconds_mean,runtime_seconds_std
baseline,1,0,1,2,1,0,1.000000,0.520239,0.000000,10.404783,0.000000,20.000000,0.000000,20.000000,0.000000,2.000000,0.000000,1.000000,0.000000,0.930123,0.000000
baseline,2,0,1,2,1,0,1.000000,0.869518,0.000000,17.390368,0.000000,20.000000,0.000000,20.000000,0.000000,2.000000,0.000000,1.000000,0.000000,0.563852,0.000000
baseline,3,0,1,2,1,0,1.000000,0.676189,0.000000,13.523783,0.000000,20.000000,0.000000,20.000000,0.000000,2.000000,0.000000,1.000000,0.000000,0.575679,0.000000
baseline,4,0,1,2,1,0,1.000000,0.515500,0.000000,10.310000,0.000000,20.000000,0.000000,20.000000,0.000000,2.000000,0.000000,1.000000,0.000000,0.554196,0.000000
baseline,5,0,1,2,1,0,1.000000,0.881285,0.000000,17.625705,0.000000,20.000000,0.000000,20.000000,0.000000,2.000000,0.000000,1.000000,0.000000,0.540610,0.000000
baseline,6,0,1,2,1,0,1.000000,0.500825,0.000000,10.016500,0.000000,20.000000,0.000000,20.000000,0.000000,2.000000,0.000000,1.000000,0.000000,0.539494,0.000000
baseline,7,0,1,2,1,0,1.000000,0.892552,0.000000,17.851041,0.000000,20.000000,0.000000,20.000000,0.000000,2.000000,0.000000,1.000000,0.000000,0.571830,0.000000
baseline,8,0,1,2,1,0,1.000000,0.578059,0.000000,11.561171,0.000000,20.000000,0.000000,20.000000,0.000000,2.000000,0.000000,1.000000,0.000000,0.557289,0.000000
baseline,9,0,1,2,1,0,1.000000,0.791913,0.000000,15.838258,0.000000,20.000000,0.000000,20.000000,0.000000,2.000000,0.000000,1.000000,0.000000,0.531477,0.000000
baseline,10,0,1,2,1,0,1.000000,0.557338,0.000000,11.146766,0.000000,20.000000,0.000000,20.000000,0.000000,2.000000,0.000000,1.000000,0.000000,0.548396,0.000000
baseline,1,5,1,2,1,0,1.000000,0.505315,0.000000,15.159460,0.000000,30.000000,0.000000,30.000000,0.000000,2.000000,0.000000,1.000000,0.000000,1.212138,0.000000
baseline,2,5,1,2,1,0,1.000000,0.881677,0.000000,26.450323,0.000000,30.000000,0.000000,30.000000,0.000000,2.000000,0.000000,1.000000,0.000000,1.258701,0.000000
baseline,3,5,1,2,1,0,1.000000,0.664068,0.000000,19.922053,0.000000,30.000000,0.000000,30.000000,0.000000,2.000000,0.000000,1.000000,0.000000,1.221219,0.000000
baseline,4,5,1,2,1,0,1.000000,0.518532,0.000000,15.555975,0.000000,30.000000,0.000000,30.000000,0.000000,2.000000,0.000000,1.000000,0.000000,1.759330,0.000000
baseline,5,5,1,2,1,0,1.000000,0.865485,0.000000,25.964538,0.000000,30.000000,0.000000,30.000000,0.000000,2.000000,0.000000,1.000000,0.000000,1.404222,0.000000
baseline,6,5,1,2,1,0,1.000000,0.497025,0.000000,14.910745,0.000000,30.000000,0.000000,30.000000,0.000000,2.000000,0.000000,1.000000,0.000000,1.357887,0.000000
baseline,7,5,1,2,1,0,1.000000,0.893321,0.000000,26.799617,0.000000,30.000000,0.000000,30.000000,0.000000,2.000000,0.000000,1.000000,0.000000,1.489231,0.000000
baseline,8,5,1,2,1,0,1.000000,0.611535,0.000000,18.346044,0.000000,30.000000,0.000000,30.000000,0.000000,2.000000,0.000000,1.000000,0.000000,1.560316,0.000000
baseline,9,5,1,2,1,0,1.000000,0.796548,0.000000,23.896443,0.000000,30.000000,0.000000,30.000000,0.000000,2.000000,0.000000,1.000000,0.000000,1.332133,0.000000
baseline,10,5,1,2,1,0,1.000000,0.572759,0.000000,17.182770,0.000000,30.000000,0.000000,30.000000,0.000000,2.000000,0.000000,1.000000,0.000000,1.291583,0.000000
baseline,1,10,1,2,1,0,1.000000,0.509033,0.000000,20.361319,0.000000,40.000000,0.000000,40.000000,0.000000,2.000000,0.000000,1.000000,0.000000,2.267671,0.000000
baseline,2,10,1,2,1,0,1.000000,0.853519,0.000000,34.140777,0.000000,40.000000,0.000000,40.000000,0.000000,2.000000,0.000000,1.000000,0.000000,2.273856,0.000000
baseline,3,10,1,2,1,0,1.000000,0.681955,0.000000,27.278201,0.000000,40.000000,0.000000,40.000000,0.000000,2.000000,0.000000,1.000000,0.000000,2.273617,0.000000
baseline,4,10,1,2,1,0,1.000000,0.525316,0.000000,21.012652,0.000000,40.000000,0.000000,40.000000,0.000000,2.000000,0.000000,1.000000,0.000000,2.280254,0.000000
baseline,5,10,1,2,1,0,1.000000,0.806548,0.000000,32.261934,0.000000,40.000000,0.000000,40.000000,0.000000,2.000000,0.000000,1.000000,0.000000,2.417596,0.000000
baseline,6,10,1,2,1,0,1.000000,0.501133,0.000000,20.045332,0.000000,40.000000,0.000000,40.000000,0.000000,2.000000,0.000000,1.000000,0.000000,2.378961,0.000000
baseline,7,10,1,2,1,0,1.000000,0.873815,0.000000,34.952594,0.000000,40.000000,0.000000,40.000000,0.000000,2.000000,0.000000,1.000000,0.000000,2.342737,0.000000
baseline,8,10,1,2,1,0,1.000000,0.630794,0.000000,25.231747,0.000000,40.000000,0.000000,40.000000,0.000000,2.000000,0.000000,1.000000,0.000000,2.237087,0.000000
baseline,9,10,1,2,1,0,1.000000,0.824047,0.000000,32.961889,0.000000,40.000000,0.000000,40.000000,0.000000,2.000000,0.000000,1.000000,0.000000,2.270017,0.000000
baseline,10,10,1,2,1,0,1.000000,0.562809,0.000000,22.512347,0.000000,40.000000,0.000000,40.000000,0.000000,2.000000,0.000000,1.000000,0.000000,2.299065,0.000000
baseline,1,15,1,2,1,0,1.000000,0.556088,0.000000,27.804380,0.000000,50.000000,0.000000,50.000000,0.000000,2.000000,0.000000,1.000000,0.000000,3.684560,0.000000
baseline,2,15,1,2,1,0,1.000000,0.857493,0.000000,42.874642,0.000000,50.000000,0.000000,50.000000,0.000000,2.000000,0.000000,1.000000,0.000000,3.534659,0.000000
baseline,3,15,1,2,1,0,1.000000,0.704760,0.000000,35.238013,0.000000,50.000000,0.000000,50.000000,0.000000,2.000000,0.000000,1.000000,0.000000,3.568783,0.000000
baseline,4,15,1,2,1,0,1.000000,0.530810,0.000000,26.540483,0.000000,50.000000,0.000000,50.000000,0.000000,2.000000,0.000000,1.000000,0.000000,3.443306,0.000000
baseline,5,15,1,2,1,0,1.000000,0.767785,0.000000,38.389231,0.000000,50.000000,0.000000,50.000000,0.000000,2.000000,0.000000,1.000000,0.000000,3.462243,0.000000
baseline,6,15,1,2,1,0,1.000000,0.495727,0.000000,24.786355,0.000000,50.000000,0.000000,50.000000,0.000000,2.000000,0.000000,1.000000,0.000000,4.035128,0.000000
baseline,7,15,1,2,1,0,1.000000,0.879844,0.000000,43.992198,0.000000,50.000000,0.000000,50.000000,0.000000,2.000000,0.000000,1.000000,0.000000,3.424469,0.000000
baseline,8,15,1,2,1,0,1.000000,0.659100,0.000000,32.954993,0.000000,50.000000,0.000000,50.000000,0.000000,2.000000,0.000000,1.000000,0.000000,3.399828,0.000000
baseline,9,15,1,2,1,0,1.000000,0.778488,0.000000,38.924389,0.000000,50.000000,0.000000,50.000000,0.000000,2.000000,0.000000,1.000000,0.000000,3.490489,0.000000
baseline,10,15,1,2,1,0,1.000000,0.545756,0.000000,27.287793,0.000000,50.000000,0.000000,50.000000,0.000000,2.000000,0.000000,1.000000,0.000000,3.412066,0.000000
baseline,1,20,1,2,1,0,1.000000,0.599930,0.000000,35.995807,0.000000,60.000000,0.000000,60.000000,0.000000,2.000000,0.000000,1.000000,0.000000,5.143673,0.000000
baseline,2,20,1,2,1,0,1.000000,0.864496,0.000000,51.869781,0.000000,60.000000,0.000000,60.000000,0.000000,2.000000,0.000000,1.000000,0.000000,4.844409,0.000000
baseline,3,20,1,2,1,0,1.000000,0.723964,0.000000,43.437842,0.000000,60.000000,0.000000,60.000000,0.000000,2.000000,0.000000,1.000000,0.000000,4.947853,0.000000
baseline,4,20,1,2,1,0,1.000000,0.561561,0.000000,33.693647,0.000000,60.000000,0.000000,60.000000,0.000000,2.000000,0.000000,1.000000,0.000000,5.019934,0.000000
baseline,5,20,1,2,1,0,1.000000,0.787295,0.000000,47.237675,0.000000,60.000000,0.000000,60.000000,0.000000,2.000000,0.000000,1.000000,0.000000,5.992678,0.000000
baseline,6,20,1,2,1,0,1.000000,0.497204,0.000000,29.832237,0.000000,60.000000,0.000000,60.000000,0.000000,2.000000,0.000000,1.000000,0.000000,5.000993,0.000000
baseline,7,20,1,2,1,0,1.000000,0.862913,0.000000,51.774762,0.000000,60.000000,0.000000,60.000000,0.000000,2.000000,0.000000,1.000000,0.000000,4.825382,0.000000
baseline,8,20,1,2,1,0,1.000000,0.717087,0.000000,43.025210,0.000000,60.000000,0.000000,60.000000,0.000000,2.000000,0.000000,1.000000,0.000000,4.910321,0.000000
baseline,9,20,1,2,1,0,1.000000,0.723998,0.000000,43.439887,0.000000,60.000000,0.000000,60.000000,0.000000,2.000000,0.000000,1.000000,0.000000,4.848953,0.000000
baseline,10,20,1,2,1,0,1.000000,0.588116,0.000000,35.286980,0.000000,60.000000,0.000000,60.000000,0.000000,2.000000,0.000000,1.000000,0.000000,5.363252,0.000000
